anio,region_sanitaria,municipio_id,municipio_nombre,establecimiento_id,establecimiento_nombre,establecimiento_dependencia,practica_nombre,cantidad
2018,X,06784,Suipacha,78400106,Asociacion Hogar de Ancianos de Suipacha,Municipal,Cesarea,1
2018,X,06784,Suipacha,78400106,Asociacion Hogar de Ancianos de Suipacha,Municipal,Forceps,1
2018,X,06784,Suipacha,78400106,Asociacion Hogar de Ancianos de Suipacha,Municipal,Otros,0
2018,X,06784,Suipacha,78400106,Asociacion Hogar de Ancianos de Suipacha,Municipal,Parto normal,1
2018,X,06707,Saladillo,70700151,C.A.P.S. 31 de Julio,Municipal,Cesarea,0
2018,X,06707,Saladillo,70700151,C.A.P.S. 31 de Julio,Municipal,Forceps,0
2018,X,06707,Saladillo,70700151,C.A.P.S. 31 de Julio,Municipal,Otros,0
2018,X,06707,Saladillo,70700151,C.A.P.S. 31 de Julio,Municipal,Parto normal,0
2018,V,06252,Escobar,25200318,C.A.P.S. A. Penalba,Municipal,Cesarea,0
2018,V,06252,Escobar,25200318,C.A.P.S. A. Penalba,Municipal,Forceps,0
2018,V,06252,Escobar,25200318,C.A.P.S. A. Penalba,Municipal,Otros,0
2018,V,06252,Escobar,25200318,C.A.P.S. A. Penalba,Municipal,Parto normal,0
2018,V,06252,Escobar,25200326,C.A.P.S. A. Sambrano,Municipal,Cesarea,0
2018,V,06252,Escobar,25200326,C.A.P.S. A. Sambrano,Municipal,Forceps,0
2018,V,06252,Escobar,25200326,C.A.P.S. A. Sambrano,Municipal,Otros,0
2018,V,06252,Escobar,25200326,C.A.P.S. A. Sambrano,Municipal,Parto normal,0
2018,V,06252,Escobar,25200237,C.A.P.S. Alfredo Vilar,Municipal,Cesarea,0
2018,V,06252,Escobar,25200237,C.A.P.S. Alfredo Vilar,Municipal,Forceps,0
2018,V,06252,Escobar,25200237,C.A.P.S. Alfredo Vilar,Municipal,Otros,0
2018,V,06252,Escobar,25200237,C.A.P.S. Alfredo Vilar,Municipal,Parto normal,0
2018,VII,06568,Morón,56801269,C.A.P.S. Almafuerte,Municipal,Cesarea,0
2018,VII,06568,Morón,56801269,C.A.P.S. Almafuerte,Municipal,Forceps,0
2018,VII,06568,Morón,56801269,C.A.P.S. Almafuerte,Municipal,Otros,0
2018,VII,06568,Morón,56801269,C.A.P.S. Almafuerte,Municipal,Parto normal,0
2018,X,06707,Saladillo,70700097,C.A.P.S. Alvarez de Toledo,Municipal,Cesarea,0
2018,X,06707,Saladillo,70700097,C.A.P.S. Alvarez de Toledo,Municipal,Forceps,0
2018,X,06707,Saladillo,70700097,C.A.P.S. Alvarez de Toledo,Municipal,Otros,0
2018,X,06707,Saladillo,70700097,C.A.P.S. Alvarez de Toledo,Municipal,Parto normal,0
